,,,,,,,,,,,,,,,,,,,,
Team,Game,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
TOR,RG1,240,42,96,0.438,14,33,0.424,17,17,1,16,31,47,25,10,7,11,18,115
PHI ,RG1,240,40,88,0.455,11,34,0.324,18,19,0.947,9,30,39,29,8,8,12,16,109
TOR,RG2,240,38,87,0.437,15,41,0.366,18,22,0.818,9,34,43,24,7,5,10,24,109
PHI ,RG2,240,34,77,0.442,14,30,0.467,32,38,0.842,8,34,42,23,6,4,8,18,114
TOR,RG3,240,35,93,0.376,7,26,0.269,16,23,0.696,20,36,56,16,5,4,8,16,93
PHI ,RG3,240,30,73,0.411,7,27,0.259,21,28,0.75,5,35,40,21,7,5,10,23,88
TOR,RG4,240,45,91,0.495,15,33,0.455,14,18,0.778,12,29,41,22,7,4,10,17,119
PHI ,RG4,240,37,75,0.493,19,36,0.528,21,25,0.84,6,31,37,26,7,3,16,18,114
TOR,PG1,240,40,82,0.488,12,30,0.4,19,23,0.826,7,29,36,27,1,8,8,26,111
PHI ,PG1,240,43,84,0.512,16,32,0.5,29,34,0.853,10,29,39,29,6,4,3,18,131
TOR,PG2,240,38,89,0.427,11,32,0.344,10,12,0.833,13,22,35,16,7,4,9,24,97
PHI ,PG2,240,36,69,0.522,14,30,0.467,26,30,0.867,7,34,41,20,5,12,14,18,112
TOR,PG3,265,38,86,0.442,13,35,0.371,12,18,0.667,9,23,32,23,9,4,10,21,101
PHI ,PG3,265,38,74,0.514,13,31,0.419,15,20,0.75,9,37,46,18,5,3,22,21,104
TOR,PG4,240,37,88,0.42,8,34,0.235,28,35,0.8,13,33,46,19,9,6,11,20,110
PHI ,PG4,240,34,80,0.425,13,31,0.419,21,25,0.84,6,35,41,24,4,5,15,26,102
TOR,PG5,240,42,82,0.512,8,31,0.258,11,13,0.846,3,37,40,24,8,6,8,20,103
PHI ,PG5,240,31,81,0.383,10,37,0.27,16,20,0.8,8,29,37,21,7,1,15,17,88
TOR,PG6,240,35,89,0.393,7,35,0.2,20,25,0.8,15,22,37,15,6,1,9,22,97
PHI ,PG6,240,47,81,0.58,16,40,0.4,22,23,0.957,10,37,47,32,4,4,11,22,132
MIL,RG1,240,34,88,0.386,6,31,0.194,20,28,0.714,11,42,53,20,3,3,8,17,94
CHI,RG1,240,31,85,0.365,7,38,0.184,21,24,0.875,6,43,49,21,4,4,8,21,90
MIL,RG2,240,43,88,0.489,10,31,0.323,22,33,0.667,12,38,50,20,5,5,13,18,118
CHI,RG2,240,47,94,0.5,10,26,0.385,8,11,0.727,5,35,40,25,5,2,12,23,112
MIL,RG3,240,50,82,0.61,12,28,0.429,14,20,0.7,5,48,53,26,4,6,14,12,126
CHI,RG3,240,39,92,0.424,13,33,0.394,7,13,0.538,5,28,33,21,9,4,7,12,98
MIL,RG4,240,46,87,0.529,12,35,0.343,23,25,0.92,8,39,47,32,8,8,14,19,127
CHI,RG4,240,42,98,0.429,9,33,0.273,13,13,1,13,29,42,22,8,2,14,21,106
MIL,PG1,240,34,84,0.405,10,38,0.263,15,23,0.652,11,47,58,19,4,6,21,21,93
CHI,PG1,240,31,96,0.323,7,37,0.189,17,19,0.895,16,37,53,17,10,3,11,22,86
MIL,PG2,240,38,82,0.463,14,36,0.389,20,31,0.645,9,35,44,27,4,6,15,17,110
CHI,PG2,240,44,89,0.494,12,25,0.48,14,15,0.933,6,37,43,25,7,5,12,20,114
MIL,PG3,240,43,91,0.473,15,41,0.366,10,14,0.714,9,46,55,27,8,6,9,15,111
CHI,PG3,240,33,84,0.393,9,34,0.265,6,10,0.6,5,38,43,22,5,2,13,15,81
MIL,PG4,240,45,86,0.523,17,33,0.515,12,18,0.667,5,46,51,21,6,4,14,23,119
CHI,PG4,240,35,90,0.389,9,36,0.25,16,17,0.941,8,36,44,27,5,3,11,18,95
MIL,PG5,240,43,87,0.494,14,36,0.389,16,20,0.8,7,44,51,23,10,2,16,13,116
CHI,PG5,240,39,92,0.424,15,52,0.288,7,11,0.636,6,31,37,24,12,3,16,18,100
