,Name,Team,Points,OffensiveRating,DefensiveRating,TrueShootingPercentage,Playoff
0,Kevin Durant,BKN,26.3,113.4,121.5,52.6,Playoff
1,Pascal Siakam,TOR,22.8,110.3,119.2,55.8,Playoff
2,Dorian Finney-Smith,DAL,21.3,118,110.2,62.3,Playoff
3,Kyrie Irving,BKN,28,115,118.3,58.8,Playoff
4,Mikal Bridges,PHX,16,119.2,115.3,65.4,Playoff
5,Jayson Tatum,BOS,22.6,115,108.1,60.2,Playoff
6,Tyrese Maxey,PHI,20.8,115,110,62.1,Playoff
7,Reggie Bullock,DAL,10.9,115.2,110,62.7,Playoff
8,DeMar DeRozan,CHI,19.4,97.9,112.8,48.1,Playoff
9,Tobias Harris,PHI,12,115,108.3,64.3,Playoff
10,James Harden,PHI,18.8,115.8,109,57.7,Playoff
11,Brandon Ingram,NOP,27,118,117.9,58.4,Playoff
12,CJ McCollum,NOP,22.2,113.8,116,48.7,Playoff
13,Joel Embiid,PHI,26.2,118.7,106.5,62.3,Playoff
14,Jaylen Brown,BOS,22,116.9,112.1,58.1,Playoff
15,Donovan Mitchell,UTA,25.5,107.3,115.3,50.5,Playoff
16,Luka Doncic,DAL,19.3,115.3,101.4,60.6,Playoff
17,Zach LaVine,CHI,33.4,97.2,109.3,55.3,Playoff
18,Anthony Edwards,MIN,25.2,107.2,111.3,60.4,Playoff
19,Herbert Jones,NOP,10.7,113.8,117.2,59.6,Playoff
20,Ja Morant,MEM,26.3,113.7,107,52.7,Playoff
21,Trae Young,ATL,15.4,100,115.5,46.1,Playoff
22,Jalen Brunson,DAL,21.8,116.2,112,56.4,Playoff
23,Karl-Anthony Towns,MIN,19.4,112.7,115.7,64.2,Playoff
24,Desmond Bane,MEM,18,114.9,102.2,62.9,Playoff
25,Jrue Holiday,MIL,26.5,108.8,100.2,48.5,Playoff
26,Nikola Vucevic,CHI,19.4,96.6,107.1,52,Playoff
27,OG Anunoby,TOR,17.3,107,115.3,58.4,Playoff
28,Jimmy Butler,MIA,15.2,118.2,100.3,60.2,Playoff
29,Marcus Smart,BOS,23.6,114.7,111.2,51.2,Playoff
30,Khris Middleton,MIL,22.6,97.4,96.7,57.3,Playoff
31,Bojan Bogdanovic,UTA,14.5,106.6,116.8,59,Playoff
32,Chris Paul,PHX,18,124.1,113.4,66.3,Playoff
33,Fred VanVleet,TOR,13.8,110.5,126.5,48.6,Playoff
34,De'Andre Hunter,ATL,21.2,95.3,116.7,67.3,Playoff
35,Klay Thompson,GSW,20,115.6,112.5,55.3,Playoff
36,Giannis Antetokounmpo,MIL,27.9,108.6,91.9,55.7,Playoff
37,Deandre Ayton,PHX,14,119.4,113.2,70,Playoff
38,Bruce Brown,BKN,13.8,108.8,116.5,67.6,Playoff
39,Will Barton,DEN,24.4,112,124.1,50.3,Playoff
40,Nikola Jokic,DEN,31,110,122.5,64.3,Playoff
41,Devin Booker,PHX,12.5,122.3,115.5,59.7,Playoff
42,Al Horford,BOS,22.3,116.3,107.5,66.2,Playoff
43,Jordan Poole,GSW,12.8,116.3,114.4,69.9,Playoff
44,Scottie Barnes,TOR,15.3,110.3,120.5,52,Playoff
45,Gary Trent Jr.,TOR,14.5,108,121.7,50.9,Playoff
46,Seth Curry,BKN,12,115.7,118.9,71.9,Playoff
47,Spencer Dinwiddie,DAL,12,115.7,114.1,48,Playoff
48,Rudy Gobert,UTA,19.6,106,113.3,68.8,Playoff
49,D'Angelo Russell,MIN,27.3,107.6,109.4,45.5,Playoff
51,Zavier Simpson,OKC,11,98.6,125.1,40.6,Regular Season
52,Melvin Frazier Jr.,OKC,10.7,91.5,130.3,31.3,Regular Season
53,Pascal Siakam,TOR,22.8,114.3,109.6,56.5,Regular Season
54,Fred VanVleet,TOR,20.3,112.2,108.5,55.2,Regular Season
55,Kyrie Irving,BKN,27.4,118.9,113.8,59.2,Regular Season
56,James Harden,PHI,22,114.9,111.4,58.3,Regular Season
57,Kevin Durant,BKN,29.9,116.2,109.7,63.4,Regular Season
58,LeBron James,LAL,30.3,110.9,113.5,61.9,Regular Season
59,Damian Lillard,POR,24,113,114.8,55,Regular Season
60,DeMar DeRozan,CHI,27.9,113.1,112,59,Regular Season
61,Derrick Walton Jr.,DET,6.3,103.5,103,34.2,Regular Season
62,OG Anunoby,TOR,17.1,112,108.1,54.9,Regular Season
63,Bradley Beal,WAS,23.2,107.1,110.5,53.9,Regular Season
64,Jayson Tatum,BOS,26.9,115.5,103.4,57.8,Regular Season
65,Darius Garland,CLE,21.7,113.6,106.9,57.6,Regular Season
66,Miles Bridges,CHA,20.2,114.5,112.4,59.3,Regular Season
67,Luka Doncic,DAL,28.4,113.8,110.3,57.1,Regular Season
68,Scottie Barnes,TOR,15.3,110.2,108.4,55.2,Regular Season
69,Tyrese Maxey,PHI,17.5,113.3,109.7,59.4,Regular Season
70,Julius Randle,NYK,20.1,108,111.6,50.9,Regular Season
71,De'Aaron Fox,SAC,23.2,112.1,116.5,54.9,Regular Season
72,Anthony Davis,LAL,23.2,105.9,108.9,57.8,Regular Season
73,Tyrese Haliburton,IND,15.3,110,115.9,59.5,Regular Season
74,Gary Trent Jr.,TOR,18.3,113.5,110.2,54.6,Regular Season
75,Trae Young,ATL,28.4,117.2,114.9,60.3,Regular Season
76,Tobias Harris,PHI,17.2,113.2,110,56.6,Regular Season
77,Mikal Bridges,PHX,14.2,116.7,106.9,62.7,Regular Season
78,Dejounte Murray,SAS,21.1,112.9,111,53.3,Regular Season
79,Paul George,LAC,24.3,108.2,103.9,53.8,Regular Season
80,Zach LaVine,CHI,24.4,112.5,113.4,60.5,Regular Season
81,Shai Gilgeous-Alexander,OKC,24.5,106.6,113,55.7,Regular Season
82,Lonzo Ball,CHI,13,110.1,107,57.5,Regular Season
83,CJ McCollum,NOP,22.1,112.1,114,55.3,Regular Season
84,Stephen Curry,GSW,25.5,114.1,103.4,60.1,Regular Season
85,RJ Barrett,NYK,20,108.3,111.6,51.1,Regular Season
86,Devin Booker,PHX,26.8,117.6,108.1,57.6,Regular Season
87,Domantas Sabonis,SAC,18.9,109.5,110.1,63.7,Regular Season
88,Russell Westbrook,LAL,18.5,107.5,111.5,51.2,Regular Season
89,Anthony Edwards,MIN,21.3,114.6,110.6,56,Regular Season
90,Jaylen Hoard,OKC,14.7,101.8,119.1,53.6,Regular Season
91,Brandon Ingram,NOP,22.7,112.7,109.4,55.4,Regular Season
92,Jimmy Butler,MIA,21.4,114.4,108.4,59.2,Regular Season
93,Kyle Lowry,MIA,13.4,112.5,106.6,60,Regular Season
94,Donovan Mitchell,UTA,25.9,117.6,111.7,57.2,Regular Season
95,Evan Mobley,CLE,15,108.5,106.8,54.9,Regular Season
96,Joel Embiid,PHI,30.6,115.6,107.8,61.6,Regular Season
97,Terry Rozier,CHA,19.3,113.3,112,56.6,Regular Season
98,Jaylen Brown,BOS,23.6,113.5,103.8,57.4,Regular Season
99,Harrison Barnes,SAC,16.4,110,116.7,62.3,Regular Season
100,Malcolm Brogdon,IND,19.1,110.8,111.1,55.7,Regular Season
